x,y
2.941474088396321740e+00,5.836754813092089655e+00
4.797495607621499403e+00,5.949054536731074094e+00
5.172532702891516010e+00,5.687163841818592580e+00
3.027357601873630344e+00,6.833059998320386796e+00
4.217077182820691661e+00,7.189627258391842801e+00
5.992416546482721706e+00,5.114633944766851847e+00
4.052622774995449539e+00,5.281848074520000935e+00
4.347447501386171531e+00,7.450681590906203411e+00
4.261563987908787432e+00,6.454376405677795248e+00
5.042162384325925117e+00,5.426109509304356315e+00
4.222278540734872188e+00,5.998639406356175208e+00
4.422458512351361115e+00,6.210945231643581366e+00
3.516691155282861025e+00,5.787169943466996536e+00
3.931013697726857714e+00,5.981016247876200786e+00
3.311309825752163150e+00,6.765851970215321920e+00
4.967151373360771061e+00,6.665845868567006782e+00
4.466945317439449781e+00,5.475694378929481410e+00
3.602574668760197163e+00,6.783475128695291900e+00
4.881267859883442028e+00,5.669540683338711418e+00
3.272024378578254122e+00,6.310114970893668129e+00
2.527151545952384559e+00,5.642908508682935143e+00
3.891728250552886514e+00,5.525279248554733513e+00
3.232738931404369964e+00,5.854377971571952166e+00
5.167331344977353247e+00,6.878151693854289483e+00
3.847241445465217957e+00,6.260530101268420466e+00
4.097109580083920122e+00,4.546597221806390365e+00
4.836781054795367574e+00,6.404791536052707457e+00
3.397193339229488629e+00,7.762157155443618173e+00
3.146855417927023169e+00,4.858072786343768712e+00
5.372712674508049346e+00,5.899469667105967652e+00
4.016897211204162765e+00,6.977321433104481052e+00
3.977611764030251074e+00,6.521584433782784629e+00
5.787035216952028271e+00,6.093315971515152363e+00
5.086649189414186090e+00,4.690858656590296327e+00
2.321770216421608968e+00,6.621590535431196578e+00
5.002876937152186620e+00,4.970372509982749598e+00
3.477405708109008398e+00,5.331432944145340969e+00
4.136395027257560919e+00,5.002334221127878067e+00
4.182993093561106157e+00,5.542902407034699053e+00
4.552828830916826774e+00,6.471999564157714602e+00
